夜の衛星写真から見える世界【２】
https://www.youtube.com/watch?v=ESGzie_i6mM

[00:00] これは夜の地球を映した衛星写真ですご覧
[04:07] にくいですがこのナイジェリア出るには
[04:09] 2億人の人々がその大都市があります
[04:12] すでに大きなこの人口は今後もさらに
[04:15] 増える見込みであり今はインフラ整備が不
[04:17] 十分で街の光はそれほど明るくありません
[04:20] が将来的には油田に負けないほどの光を
[04:23] 間違う話すでしょう
[04:25] アフリカにはもう1箇所光が多めの地域が
[04:27] あります
[04:28] それが南ハリカ共和国です
[04:31] 南アフリカは正式な人が3つ存在すること
[04:34] で有名で長い間植民地だった名残で主要
[04:37] 都市がみんな英蘭護符の名前となってい
[04:39] ます
[04:40] 大ファンの西をよく見てみるとぽっかりと
[04:43] くらいちぎがあるのが分かるでしょうか
[04:45] 実はこれは南アフリカとは全く別の独立国
[04:49] のレソトという国の領土です
[04:51] ここは全体が標高1400メートルを
[04:54] 超える山岳地帯でありその地形が原因で
[04:56] 歴史的に開会とは交流が少なく南アフリカ
[05:00] と阿部その歴史を歩んだ結果今もこうして
[05:02] 別の国として存在するのですでは今度は
[05:06] アフリカの対岸に目を移してみましょう
[05:08] 南米は全体的に人口が東が胃がんに集中し
[05:12] 内陸のアマゾンには逆に人はほとんど住ん
[05:15] でいません
[05:16] アマゾンは今でも人間の影響が最も呼ば
[05:19] ない地域の一つですが近年は資源開発や
[05:22] 森林伐採が問題視されており
[05:24] ご覧の通り森の奥にも光がポツポツと出
[05:27] 始めています
[05:29] シベリアの森の中に石油の炎が上がれた
[05:31] ように数十年後数百年後には amazon
[05:34] にもそのような光が灯るかもしれません
[05:37] 石油といえば南米大陸の北部を見てみると
[05:40] 1箇所またぼんやりとした油田の光があり
[05:43] ますこの油田が属する国はベネスエラです
[05:46] 実はベネスエラは世界遺産以外の石油埋蔵
[05:49] 量を誇る産油国でそれはロシアや
[05:52] サウジアラビアをも凌ぐほどです
[05:54] 巨大な石油周年のおかげでかつてはダン
[05:57] ベイズ一の経済大国になったこともあり
[05:59] ましたが原油価格の下落などにより経済が
[06:02] 悪化しハイパーインフレが起こったり犯罪
[06:05] が急増するなどいまや世界で最も腐敗した
[06:08] 国になり下がりました
[06:10] 目指すエラーはまさに資源が多いのに豊か
[06:12] ではない茂みの現れた国の典型例といえる
[06:15] でしょう
[06:16] う中からは輝いて見えてもそれが社会の
[06:19] 豊かさとは直結しないのをベネズエラは
[06:21] よく表しています
[06:23] 今度は目を南に移してみましょう
[06:25] アルゼンチンのケアをよく見てみると奇妙
[06:28] な形に並ぶ除染軍がある中分かります実は
[06:31] このような並びになる原因は英国の
[06:34] フォークランド諸島の排他的経済水域が
[06:36] ここにあるからでアルゼンチン漁船が境界
[06:39] 線ギリギリまで船を進める結果こうした光
[06:42] が形成されましたかつての西洋諸国による
[06:45] 植民地獲得競争はフォークランド諸島の
[06:48] ような海外領土として暇も残っているの
[06:50] です
[06:51] 海外ルートの例はカリブ海にも残ってい
[06:53] ます
[06:54] これはプエルトリコと有名国の領土で元の
[06:57] 支配者がスペインだった経緯で島民は米国
[07:00] 人でありながらスペイン語を喋るという
[07:02] 変わった島です
[07:04] ここは観光が盛んで娯楽施設が多いせいか
[07:07] 人口の割に非常に明るい光を放ちます
[07:10] ちなみにこの娯楽施設が多いと明るくなる
[07:13] という現象は別の地域でも見られます
[07:16] 米国本土の西部に移りましょう
[07:18] ロサンゼルスの北東に1箇所明るい街が
[07:21] 見えるでしょうかこれはラスベガスという
[07:24] カジノへホテルが集まる世界的な娯楽の町
[07:27] で町のはずれにあるフーパー魂が母体が
[07:29] 電気を供給するいるおかげで実は地球上で
[07:32] 最も明るい場所というのがここを
[07:34] ラスベガスにありますただ街単体で一番
[07:37] 明るいのはラスベガスでもやはり一番目を
[07:40] 引くのは米国の東半分の光の多さでしょう
[07:43] この広大な光は超大国である米国の経済力
[07:47] を見事に可視化しています特に
[07:49] ニューヨークフィルアドルフやワシントン
[07:51] dc の連ねれば非常に戻し区ここが世界
[07:54] で最も栄えた地域であると言っても過言で
[07:57] はありません米国の場合光の多くが純粋な
[08:00] 街の光ですが他の飛距離も存在しないわけ
[08:03] ではありません
[08:05] 例えばカナダとの国境近くには広いガス田
[08:08] が存在します
[08:09] 昔からこのあたりは人が住むのに向いて
[08:12] おらず人口は多くありませんでしたが近年
[08:15] シェルガスが採掘釜を担ったと番に開発が
[08:18] 急速に進み人口も倍増しましたもう一ヶ省
[08:21] 石油採掘が盛んなのがメキシコ湾でて来
[08:24] させ屋メキシコのタバスコの沖合に大きな
[08:27] 油田がいくつもあるのが宇宙からも見え
[08:29] ます
[08:30] 米国の光のもう1つの特長が中西部に見
[08:33] られます
[08:34] それは光が直線的に並んでいる点です
[08:37] これはかつて行われたタウンシップ線の
[08:40] 余波で何もない平野を正方間に分割して
[08:43] 開拓していった結果ロウロが直線上になり
[08:46] 一定の間隔で街が形成されました米国の
[08:49] 道路がひたすら長くてまっすぐという印象
[08:52] はこのような歴史から来ているのです
[08:55] この光がまっすぐ並ぶ現象は米国のような
[08:58] 近代になって開拓された土地によく見
[09:00] られる特徴です
[09:01] 例えば南米のアルゼンチンを覗いてみると
[09:04] 沿岸の大都市を起点として光が直線上に等
[09:07] 間隔に並んでいるのがわかりますこれは
[09:10] 19世紀に行われた鉄道の大拡張が理由で
[09:14] つ
[09:15] このきっかけは19世紀の冷凍線の登場で
[09:17] 冷凍線を使って牛肉をアルゼンチンから
[09:20] 欧州に運べるようになった結果
[09:23] 内陸の農場から港までをつなぐ鉄道が急速
[09:26] にし彼等間隔に設置されていきの周りに街
[09:29] が形成された結果こうしたまっすぐな光が
[09:32] 形成され鉄道が廃れた現在でもそれが残っ
[09:35] ているのです
[09:36] このような計画的な街づくりは新しい大陸
[09:39] ならではと言えるでしょう
[09:41] これとは正反対にあるのが中国です
[09:44] 北京から上海の間に広がるこの広大な平野
[09:47] は常に中華文明の中心地であり続け非常に
[09:50] 多くの人々が住む状態は何千年も変わり
[09:53] ません
[09:54] ここの光の並びはカガリ特徴的です衛星
[09:58] 写真を目いっぱいに拡大するとまず無数の
[10:01] 小さい名村が散らばっていてそれがやがて
[10:03] 数百の斑点のような地方都市にまとまり
[10:06] 最後には大都市および巨大都市に行き着く
[10:09] という構造があるのが分かります中国の
[10:12] 場合開拓を始めた時期が数千年前であり
[10:15] 都市計画の概念がないし台から人々がお能
[10:18] の開拓を進めた結果こうして自然的で
[10:21] まっすぐではない光の並びができたのです
[10:24] 欧州もそれと同じで都市計画なしに昔から
[10:27] 開拓された結果や規則的な光の並びは見
[10:30] られません
[10:31] しかし都市計画以前に驚きなのはこの明る
[10:34] さです
[10:35] 特にイングランドからベネルクスとルール
[10:37] 地方パリフランクフルトミュンヘン
[10:40] チューリヒそしてとリーのとミラノに至る
[10:42] までの光の密度が非常に高くここが世界
[10:45] 屈指の選手に地域であるのが一目瞭然です
[10:49] 欧州の東の方に向かうと1箇所ホース状の
[10:52] 光が見えます
[10:54] これはロシアの人もうスコアです
[10:56] モスクワバー比較的計画性のある年であの
[10:59] 有名な赤の広場を中心として幹線道路環状
[11:02] に敷いて衛星都市と赤の広場をなるべく
[11:05] 直線で結ぶようにドールを作った結果こう
[11:08] して中心が発揮入りとした放射状の形に
[11:10] なりました北西に延びるのはかつての首都
[11:14] であるサンクトペテルブルグまでの高速
[11:16] 道路です
[11:17] モスクワから東に出ると光はシベリア鉄道
[11:20] に沿って最後にウラジオストクに行き着き
[11:22] ますちなみに満州にも一本の線に沿った光
[11:26] が見えますがこれはかつての南満州鉄道で
[11:29] ロシアがシベリア鉄道とレジョン良さを
[11:32] つなぐために作った東清鉄道を日本が日露
[11:34] 戦争を経て継承した路線です
[11:37] アルゼンチンの例もそうですが100年前
[11:39] の鉄道が今もこうしてまちづくりに影響を
[11:42] 与えるのが確認できるのは夜の衛星写真
[11:44] ならではでしょう
[11:46] しかしこの辺りで一番目を引くのは朝鮮
[11:49] 半島でしょう
[11:50] ここにある2つの国は文化も気候もほぼ
[11:53] 同じであるにも関らず政治体制の違いだけ
[11:56] でここまでの差が生まれてしまいました
[11:58] 世界最初の宇宙飛行士であるかガーリンは
[12:01] 地球は青かった国境線は見えなかったと
[12:04] 言ったことがありましたが夜の地球では
[12:07] むしろこれほど国境線がはっきりと映るの
[12:09] です
[12:10] 北朝鮮と同じことが起こっているのが
[12:12] インドシナ半島です
[12:14] 真ん中のまぶしい光はタイのバンコクで
[12:17] 人々がある程度の電気をともそ余裕がある
[12:20] のが伝わりますがその右にぽっかりと空い
[12:22] た暗い穴があるのが見えるでしょうか実は
[12:25] これはカンボジアですカンボジアは長年
[12:28] 続いた内戦や独裁政権の影響でいまだによ
[12:31] た方は言えずこうして夜には真っ暗になる
[12:34] のです
[12:35] カンボジアだけでなくラオスやミャンマー
[12:37] も同じような経緯で豊かではなくタイの光
[12:40] と比べるとそれがよりわかりやすくなり
[12:43] ます
[12:43] もう一か所の国境線はインドとパキスタン
[12:46] の間ですインドとパキスタンは歴史的に
[12:49] 非常に悪い関係にあるい常に国境付近に
[12:52] 軍隊が展開されている結果こうして宇宙
[12:55] からも凝っ様がはっきりと認識できるの
[12:57] です
[12:58] 東アジアに目を戻すとこのあたりでは
[13:00] かなり多くの漁船がひしめき合っているの
[13:02] がわかります
[13:04] これらは日本中国韓国のぎょう虫幹線で
[13:07] 先ほどのフォークランド諸島のようなこと
[13:09] がここでもう来ているのです東シナ海や
[13:12] 対馬和泰は海流がぶつかり合う豊な漁場で
[13:16] あると同時に国益もぶつかり合う複雑な
[13:18] 場所でもあるのです
[13:20] ところで中国の平野は広く光が散在して
[13:23] いると述べましたが日本に関しては光が
[13:26] あるところとないところがはっきりと
[13:28] 分かれています日本は江戸時代以降の人口
[13:31] 増加に応えるために a 8を切り開いて
[13:33] 農地にしてきた歴史がありますが元々が山
[13:36] がちな地形のせいで土地には限界があり長
[13:39] は後期にはその限界に達しました
[13:42] こうして生まれたのが海岸沿いの人口密集
[13:44] 地が放つ強い光と真っ暗な山々です
[13:48] このようなはっきりとした光の差は人口が
[13:50] 多い割に使える土地が少ない日本ならでは
[13:53] と言えるでしょう
[13:54] これまで紹介してきた光は都市や漁船油田
[13:57] などの人工物でしたが次に紹介するのは
[14:00] それとは別の少し特殊な光です
[14:03] オーストラリアは大部分が乾燥地帯なので
[14:06] ほぼすべての人口が海岸沿いの都市に集中
[14:09] しますこれがオーストラリアに関する典型
[14:12] 的な説明ですがこの衛星写真にはその乾燥
[14:15] 地帯に非常に強い光が映っていますこの
[14:18] あたりには町どころか油田それは存在し
[14:21] ませんではこの光の正体は何でしょうか
[14:24] 実はこれは山火事です
[14:27] オーストラリアの気候として気温が極端に
[14:29] 上がり湿度が下がるという現象が定期的に
[14:32] 置きそれが低木に火をつけて山火事が広い
[14:35] 範囲に広がるのです夜の衛星写真からは
[14:38] 様々なものが見えます
[14:40] 我々が普段見る昼の衛星写真から視点を
[14:43] 少し変えるだけで都市や町だけではなく
[14:46] 予選や油田都市計画歴史さらには貧富の差
[14:50] や国境などが本当に存在するのだと気づか
[14:53] せてくれますこの光は100年後200年
[14:56] 後にはどうなっているのでしょうか
[14:58] 今は暗い場所がいずれは光ったり逆に
[15:01] 明るい場所ガクガクなる時は来るの
[15:03] でしょうか
[15:04] そのような変化は非常にゆっくり起きる
[15:06] ものの光は今後も増えていくでしょう
[15:09] その新たな光は今夜も世界のどこかでと
[15:12] 思っているかもしれません
[15:17] [音楽]
